term_str|n|n_chars|p|i|max_pos|max_pos_group|stop|porter_stem|song_dfidf|album_dfidf|anger|anticipation|disgust|fear|joy|negative|positive|sadness|surprise|trust|sentiment
abandon|2|7|1.03838385936129e-05|16.555300611064553|NNP|NN|0|abandon|17.792664807819882|10.951466861932795|0|0|0|1|0|1|0|1|0|0|-1
abandoned|1|9|5.191919296806451e-06|17.555300611064553|VBD|VB|0|abandon|9.89633240390994|6.475733430966398|1|0|0|1|0|1|0|1|0|0|-1
absence|6|7|3.11515157808387e-05|14.970338110343397|NN|NN|0|absenc|37.8720215451129|20.76902668039518|0|0|0|1|0|1|0|1|0|0|-1
absentee|2|8|1.03838385936129e-05|16.555300611064553|NN|NN|0|absente|9.89633240390994|6.475733430966398|0|0|0|0|0|1|0|1|0|0|-1
abundance|1|9|5.191919296806451e-06|17.555300611064553|NN|NN|0|abund|9.89633240390994|6.475733430966398|0|1|1|0|1|1|1|0|0|1|0
abuse|4|5|2.0767677187225803e-05|15.55530061106455|NN|NN|0|abus|24.93410970956636|14.672312790735724|1|0|1|1|0|1|0|1|0|0|-1
accident|4|8|2.0767677187225803e-05|15.55530061106455|NN|NN|0|accid|24.93410970956636|14.672312790735724|0|0|0|1|0|1|0|1|1|0|-1
accidental|2|10|1.03838385936129e-05|16.555300611064553|JJ|JJ|0|accident|9.89633240390994|6.475733430966398|0|0|0|1|0|1|0|0|1|0|-1
accused|1|7|5.191919296806451e-06|17.555300611064553|VBN|VB|0|accus|9.89633240390994|6.475733430966398|1|0|0|1|0|1|0|0|0|0|-1
ache|3|4|1.557575789041935e-05|15.970338110343397|NN|NN|0|ach|17.792664807819882|10.951466861932795|0|0|0|0|0|1|0|1|0|0|-1
achieve|1|7|5.191919296806451e-06|17.555300611064553|VB|VB|0|achiev|9.89633240390994|6.475733430966398|0|0|0|0|1|0|1|0|0|1|1
aching|6|6|3.11515157808387e-05|14.970338110343397|VBG|VB|0|ach|24.93410970956636|14.672312790735724|0|0|0|0|0|1|0|1|0|0|-1
admire|2|6|1.03838385936129e-05|16.555300611064553|NNP|NN|0|admir|9.89633240390994|6.475733430966398|0|0|0|0|0|0|1|0|0|1|1
adore|10|5|5.19191929680645e-05|14.23337251617719|VBP|VB|0|ador|43.86821941913272|20.76902668039518|0|1|0|0|1|0|1|0|0|1|1
adultery|1|8|5.191919296806451e-06|17.555300611064553|NN|NN|0|adulteri|9.89633240390994|6.475733430966398|0|0|1|0|0|1|0|1|0|0|-1
advance|2|7|1.03838385936129e-05|16.555300611064553|NN|NN|0|advanc|17.792664807819882|10.951466861932795|0|1|0|1|1|0|1|0|1|0|1
adventure|1|9|5.191919296806451e-06|17.555300611064553|NN|NN|0|adventur|9.89633240390994|6.475733430966398|0|1|0|0|0|0|1|0|0|0|1
adversity|1|9|5.191919296806451e-06|17.555300611064553|NN|NN|0|advers|9.89633240390994|6.475733430966398|1|0|0|1|0|1|0|1|0|0|-1
affection|6|9|3.11515157808387e-05|14.970338110343397|NN|NN|0|affect|43.86821941913272|23.344625581471448|0|0|0|0|1|0|1|0|0|1|1
affliction|1|10|5.191919296806451e-06|17.555300611064553|NN|NN|0|afflict|9.89633240390994|6.475733430966398|0|0|1|1|0|1|0|1|0|0|-1
afraid|76|6|0.0003945858665572|11.307373097620966|JJ|NN|0|afraid|153.20621889921506|44.89994392291585|0|0|0|1|0|1|0|0|0|0|-1
aftermath|2|9|1.03838385936129e-05|16.555300611064553|NN|NN|0|aftermath|9.89633240390994|6.475733430966398|1|0|1|1|0|1|0|1|0|0|-1
alarm|10|5|5.19191929680645e-05|14.23337251617719|NN|NN|0|alarm|43.86821941913272|23.344625581471448|0|0|0|1|0|1|0|0|1|0|-1
alarming|1|8|5.191919296806451e-06|17.555300611064553|VBG|VB|0|alarm|9.89633240390994|6.475733430966398|0|0|0|1|0|1|0|0|1|0|-1
alien|22|5|0.0001142222245297|13.095868992427254|NN|NN|0|alien|49.62284237296636|25.678649562361556|0|0|1|1|0|1|0|0|0|0|-1
alienation|2|10|1.03838385936129e-05|16.555300611064553|NN|NN|0|alien|17.792664807819882|10.951466861932795|1|0|1|1|0|1|0|1|0|0|-1
alive|108|5|0.000560727284055|10.800413108901084|JJ|JJ|0|aliv|166.84672854377416|46.71459824944622|0|1|0|0|1|0|1|0|0|1|1
allegiance|2|10|1.03838385936129e-05|16.555300611064553|NN|NN|0|allegi|17.792664807819882|10.951466861932795|0|0|0|0|0|0|1|0|0|1|1
altercation|1|11|5.191919296806451e-06|17.555300611064553|NN|NN|0|alterc|9.89633240390994|6.475733430966398|1|0|0|0|0|1|0|0|0|0|-1
ambition|1|8|5.191919296806451e-06|17.555300611064553|NNP|NN|0|ambit|9.89633240390994|6.475733430966398|0|1|0|0|1|0|1|0|0|1|1
