term_str|n|n_chars|p|i|max_pos|max_pos_group|stop|porter_stem|song_dfidf|album_dfidf
1|4|1|2.0767677187225803e-05|15.55530061106455|CD|CD|0|1|31.58532961563977|17.90293372386559
10cc|1|4|5.191919296806451e-06|17.555300611064553|CD|CD|0|10cc|9.896332403909941|6.475733430966398
10th|5|4|2.595959648403225e-05|15.23337251617719|CD|CD|0|10th|17.792664807819882|10.951466861932795
1st|1|3|5.191919296806451e-06|17.555300611064553|CD|CD|0|1st|9.896332403909941|6.475733430966398
2|11|1|5.711111226487095e-05|14.095868992427254|CD|CD|0|2|55.17065923127954|25.678649562361553
3|7|1|3.6343435077645156e-05|14.747945689006947|CD|CD|0|3|37.8720215451129|20.76902668039518
30th|2|4|1.0383838593612901e-05|16.555300611064553|CD|CD|0|30th|9.896332403909941|6.475733430966398
5|6|1|3.11515157808387e-05|14.970338110343395|CD|CD|0|5|37.8720215451129|14.672312790735724
6|3|1|1.557575789041935e-05|15.970338110343395|CD|CD|0|6|24.934109709566357|14.672312790735724
60s|3|3|1.557575789041935e-05|15.970338110343395|NN|NN|0|60|17.792664807819882|10.951466861932795
7|5|1|2.595959648403225e-05|15.23337251617719|CD|CD|0|7|31.58532961563977|17.90293372386559
70s|2|3|1.0383838593612901e-05|16.555300611064553|CD|CD|0|70|17.792664807819882|10.951466861932795
8|2|1|1.0383838593612901e-05|16.555300611064553|CD|CD|0|8|17.792664807819882|10.951466861932795
80s|4|3|2.0767677187225803e-05|15.55530061106455|CD|CD|0|80|31.58532961563977|17.90293372386559
a|3570|1|0.01853515188959903|5.7535922521480884|DT|DT|1|a|267.90431424854086|0.0
aah|1|3|5.191919296806451e-06|17.555300611064553|NN|NN|0|aah|9.896332403909941|6.475733430966398
aback|1|5|5.191919296806451e-06|17.555300611064553|NN|NN|0|aback|9.896332403909941|6.475733430966398
abandon|2|7|1.0383838593612901e-05|16.555300611064553|NNP|NN|0|abandon|17.792664807819882|10.951466861932795
abandoned|1|9|5.191919296806451e-06|17.555300611064553|VBD|VB|0|abandon|9.896332403909941|6.475733430966398
abbey|2|5|1.0383838593612901e-05|16.555300611064553|NNP|NN|0|abbey|9.896332403909941|6.475733430966398
abducted|2|8|1.0383838593612901e-05|16.555300611064553|JJ|JJ|0|abduct|9.896332403909941|6.475733430966398
abel|5|4|2.595959648403225e-05|15.23337251617719|NNP|NN|0|abel|9.896332403909941|6.475733430966398
abilities|1|9|5.191919296806451e-06|17.555300611064553|NNS|NN|0|abil|9.896332403909941|6.475733430966398
ability|1|7|5.191919296806451e-06|17.555300611064553|NN|NN|0|abil|9.896332403909941|6.475733430966398
able|4|4|2.0767677187225803e-05|15.55530061106455|JJ|JJ|0|abl|17.792664807819882|10.951466861932795
aboard|1|6|5.191919296806451e-06|17.555300611064553|NN|NN|0|aboard|9.896332403909941|6.475733430966398
about|252|5|0.0013083636627952255|9.578020687564635|IN|IN|1|about|342.64699594238107|34.13057012147276
above|89|5|0.0004620808174157741|11.079567180098152|IN|IN|1|abov|163.5015651304265|45.3785023258858
abraham|1|7|5.191919296806451e-06|17.555300611064553|NNP|NN|0|abraham|9.896332403909941|6.475733430966398
abreak|1|6|5.191919296806451e-06|17.555300611064553|VB|VB|0|abreak|9.896332403909941|6.475733430966398
absence|6|7|3.11515157808387e-05|14.970338110343395|NN|NN|0|absenc|37.8720215451129|20.76902668039518
absentee|2|8|1.0383838593612901e-05|16.555300611064553|NN|NN|0|absente|9.896332403909941|6.475733430966398
absentmindedness|1|16|5.191919296806451e-06|17.555300611064553|JJ|JJ|0|absentminded|9.896332403909941|6.475733430966398
absorbs|1|7|5.191919296806451e-06|17.555300611064553|VBZ|VB|0|absorb|9.896332403909941|6.475733430966398
abundance|1|9|5.191919296806451e-06|17.555300611064553|NN|NN|0|abund|9.896332403909941|6.475733430966398
abuse|4|5|2.0767677187225803e-05|15.55530061106455|NN|NN|0|abus|24.934109709566357|14.672312790735724
abused|6|6|3.11515157808387e-05|14.970338110343395|VBN|VB|0|abus|31.58532961563977|17.90293372386559
acc|4|3|2.0767677187225803e-05|15.55530061106455|JJ|JJ|0|acc|9.896332403909941|6.475733430966398
accelerate|6|10|3.11515157808387e-05|14.970338110343395|VBP|VB|0|acceler|17.792664807819882|10.951466861932795
accelerating|2|12|1.0383838593612901e-05|16.555300611064553|NN|NN|0|acceler|9.896332403909941|6.475733430966398
accept|3|6|1.557575789041935e-05|15.970338110343395|VB|VB|0|accept|24.934109709566357|14.672312790735724
acceptance|1|10|5.191919296806451e-06|17.555300611064553|NN|NN|0|accept|9.896332403909941|6.475733430966398
accepting|2|9|1.0383838593612901e-05|16.555300611064553|VBG|VB|0|accept|17.792664807819882|10.951466861932795
accident|4|8|2.0767677187225803e-05|15.55530061106455|NN|NN|0|accid|24.934109709566357|14.672312790735724
accidental|2|10|1.0383838593612901e-05|16.555300611064553|JJ|JJ|0|accident|9.896332403909941|6.475733430966398
accidents|2|9|1.0383838593612901e-05|16.555300611064553|NNS|NN|0|accid|9.896332403909941|6.475733430966398
accompany|1|9|5.191919296806451e-06|17.555300611064553|JJ|JJ|0|accompani|9.896332403909941|6.475733430966398
according|3|9|1.557575789041935e-05|15.970338110343395|VBG|VB|0|accord|9.896332403909941|6.475733430966398
account|4|7|2.0767677187225803e-05|15.55530061106455|VB|VB|0|account|17.792664807819882|10.951466861932795
